year,county,population
2017,"Osceola County, MI",23221
2017,"Otsego County, MI",24247
2017,"Calhoun County, MI",134327
2017,"Cheboygan County, MI",25475
2017,"Luce County, MI",6406
2017,"Kent County, MI",636376
2017,"Macomb County, MI",864019
2017,"Saginaw County, MI",193803
2017,"Shiawassee County, MI",68617
2017,"Baraga County, MI",8580
2017,"Bay County, MI",105350
2017,"Charlevoix County, MI",26160
2017,"Eaton County, MI",108586
2017,"Delta County, MI",36395
2017,"Gogebic County, MI",15577
2017,"Emmet County, MI",32978
2018,"Benzie County, MI",17552
2018,"Schoolcraft County, MI",8069
2018,"Wayne County, MI",1761382
2018,"Grand Traverse County, MI",91746
2018,"Mackinac County, MI",10817
2018,"Genesee County, MI",409361
2018,"Chippewa County, MI",37834
2018,"Monroe County, MI",149699
2018,"Oakland County, MI",1250843
2018,"Hillsdale County, MI",45830
2018,"Muskegon County, MI",173043
2018,"Leelanau County, MI",21639
2018,"Lapeer County, MI",88202
2018,"Sanilac County, MI",41376
2018,"Keweenaw County, MI",2130
2018,"Ontonagon County, MI",5968
2018,"Ottawa County, MI",284034
2018,"Alcona County, MI",10364
2018,"Ionia County, MI",64176
2018,"Kalkaska County, MI",17463
2018,"Berrien County, MI",154807
2018,"Ogemaw County, MI",20928
2018,"Wexford County, MI",33111
2018,"Crawford County, MI",13836
2018,"Dickinson County, MI",25570
2018,"Huron County, MI",31543
2018,"Ingham County, MI",289564
2018,"Mason County, MI",28884
2018,"Menominee County, MI",23234
2018,"Missaukee County, MI",15006
2018,"St. Joseph County, MI",60897
2018,"Van Buren County, MI",75272
2018,"Arenac County, MI",15165
2018,"Barry County, MI",60057
2018,"Iron County, MI",11212
2018,"Allegan County, MI",115250
2018,"Alger County, MI",9194
2018,"Oceana County, MI",26417
2018,"Clare County, MI",30616
2018,"Isabella County, MI",70775
2018,"Tuscola County, MI",53250
2018,"Alpena County, MI",28612
2018,"Midland County, MI",83389
2018,"Oscoda County, MI",8277
2018,"Clinton County, MI",77896
2018,"Gratiot County, MI",41067
2018,"Lenawee County, MI",98474
2018,"Montcalm County, MI",63209
2018,"St. Clair County, MI",159566
2018,"Washtenaw County, MI",365961
2018,"Cass County, MI",51460
2018,"Roscommon County, MI",23877
2018,"Branch County, MI",43584
2018,"Jackson County, MI",158913
2018,"Macomb County, MI",868704
2018,"Baraga County, MI",8507
2018,"Eaton County, MI",109155
2018,"Gogebic County, MI",15414
2018,"Antrim County, MI",23177
2018,"Houghton County, MI",36360
2018,"Livingston County, MI",188482
2018,"Iosco County, MI",25247
2018,"Lake County, MI",11763
2018,"Manistee County, MI",24444
2018,"Montmorency County, MI",9261
2018,"Presque Isle County, MI",12797
